Label:, CH2: Power Spectrum
DateTime:, Wed Jan  1 00:35:51 2003
DataKind:, CH2, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 640.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
0.00000000E+00, -5.60370437E+01
8.00000000E-01, -5.23720929E+01
1.60000000E+00, -4.58989405E+01
2.40000000E+00, -3.63147854E+01
3.20000000E+00, -1.88115829E+01
4.00000000E+00, -5.62284223E+00
4.80000000E+00, -6.07080961E+00
5.60000000E+00, -2.08848878E+01
6.40000000E+00, -3.72469459E+01
7.20000000E+00, -4.66212735E+01
8.00000000E+00, -5.80956209E+01
8.80000000E+00, -5.09753173E+01
9.60000000E+00, -7.19211547E+01
1.04000000E+01, -6.78369899E+01
1.12000000E+01, -6.81678101E+01
1.20000000E+01, -6.01110953E+01
1.28000000E+01, -6.28019189E+01
1.36000000E+01, -6.10758010E+01
1.44000000E+01, -7.10948228E+01
1.52000000E+01, -8.28699264E+01
1.60000000E+01, -8.18523363E+01
1.68000000E+01, -7.73970008E+01
1.76000000E+01, -6.92294533E+01
1.84000000E+01, -8.09651054E+01
1.92000000E+01, -8.70634806E+01
2.00000000E+01, -9.38184650E+01
2.08000000E+01, -7.12118438E+01
2.16000000E+01, -6.48684951E+01
2.24000000E+01, -6.87203238E+01
2.32000000E+01, -8.36058028E+01
2.40000000E+01, -8.12946367E+01
2.48000000E+01, -7.52319703E+01
2.56000000E+01, -5.92521159E+01
2.64000000E+01, -5.66374067E+01
2.72000000E+01, -6.54745780E+01
2.80000000E+01, -8.24412995E+01
2.88000000E+01, -8.10290727E+01
2.96000000E+01, -6.58955930E+01
3.04000000E+01, -5.96676027E+01
3.12000000E+01, -6.29101993E+01
3.20000000E+01, -8.22415575E+01
3.28000000E+01, -8.21765635E+01
3.36000000E+01, -7.50869168E+01
3.44000000E+01, -6.82006098E+01
3.52000000E+01, -6.77711790E+01
3.60000000E+01, -7.37064792E+01
3.68000000E+01, -9.33499035E+01
3.76000000E+01, -7.84556323E+01
3.84000000E+01, -7.13373409E+01
3.92000000E+01, -7.10262694E+01
4.00000000E+01, -6.84554203E+01
4.08000000E+01, -7.56964991E+01
4.16000000E+01, -8.83446642E+01
4.24000000E+01, -8.22055321E+01
4.32000000E+01, -8.26433272E+01
4.40000000E+01, -7.44515630E+01
4.48000000E+01, -7.53747488E+01
4.56000000E+01, -9.13141848E+01
4.64000000E+01, -7.68762366E+01
4.72000000E+01, -6.92777575E+01
4.80000000E+01, -6.78450568E+01
4.88000000E+01, -6.82986737E+01
4.96000000E+01, -7.91512917E+01
5.04000000E+01, -8.59091993E+01
5.12000000E+01, -8.20025599E+01
5.20000000E+01, -7.16850539E+01
5.28000000E+01, -6.81456932E+01
5.36000000E+01, -7.34809758E+01
5.44000000E+01, -8.10736098E+01
5.52000000E+01, -8.08869117E+01
5.60000000E+01, -7.90642812E+01
5.68000000E+01, -7.33986334E+01
5.76000000E+01, -7.03251637E+01
5.84000000E+01, -8.25882890E+01
5.92000000E+01, -8.37214567E+01
6.00000000E+01, -7.19585277E+01
6.08000000E+01, -6.72174602E+01
6.16000000E+01, -6.91392810E+01
6.24000000E+01, -7.64981611E+01
6.32000000E+01, -8.71213044E+01
6.40000000E+01, -7.59045962E+01
6.48000000E+01, -7.00874268E+01
6.56000000E+01, -7.92266521E+01
6.64000000E+01, -7.43641257E+01
6.72000000E+01, -8.19972038E+01
6.80000000E+01, -8.00986976E+01
6.88000000E+01, -7.46850017E+01
6.96000000E+01, -7.03597560E+01
7.04000000E+01, -7.34482449E+01
7.12000000E+01, -7.87329262E+01
7.20000000E+01, -8.30433036E+01
7.28000000E+01, -7.24165225E+01
7.36000000E+01, -6.60167406E+01
7.44000000E+01, -6.66894908E+01
7.52000000E+01, -7.11259181E+01
7.60000000E+01, -8.98193061E+01
7.68000000E+01, -7.78735186E+01
7.76000000E+01, -7.77978941E+01
7.84000000E+01, -8.90144515E+01
7.92000000E+01, -7.31970663E+01
8.00000000E+01, -7.67722491E+01
8.08000000E+01, -7.90105467E+01
8.16000000E+01, -7.21770334E+01
8.24000000E+01, -6.95686006E+01
8.32000000E+01, -6.95849657E+01
8.40000000E+01, -7.31199639E+01
8.48000000E+01, -8.42121529E+01
8.56000000E+01, -8.39828756E+01
8.64000000E+01, -8.07691275E+01
8.72000000E+01, -7.44417342E+01
8.80000000E+01, -7.03003401E+01
8.88000000E+01, -7.55009528E+01
8.96000000E+01, -8.13494072E+01
9.04000000E+01, -7.37820028E+01
9.12000000E+01, -7.04635680E+01
9.20000000E+01, -7.04072013E+01
9.28000000E+01, -7.44486926E+01
9.36000000E+01, -1.03656515E+02
9.44000000E+01, -8.75457229E+01
9.52000000E+01, -7.55411105E+01
9.60000000E+01, -6.90070769E+01
9.68000000E+01, -7.08004810E+01
9.76000000E+01, -8.16633480E+01
9.84000000E+01, -8.41749606E+01
