Label:, CH2: Time
DateTime:, Wed Jan  1 00:41:33 2003
DataKind:, CH2, Time, Real
DataPoints:, 2048
DataCalc:
Frequency:, 0.000 , 2000.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
0.00000000E+00, -2.21035171E+00
1.95312500E-04, -2.20825005E+00
3.90625000E-04, -2.18756437E+00
5.85937500E-04, -2.18409562E+00
7.81250000E-04, -2.17280126E+00
9.76562500E-04, -2.15170407E+00
1.17187500E-03, -2.15315723E+00
1.36718750E-03, -2.12980056E+00
1.56250000E-03, -2.11879373E+00
1.75781250E-03, -2.11405921E+00
1.95312500E-03, -2.08430767E+00
2.14843750E-03, -2.08445024E+00
2.34375000E-03, -2.06393409E+00
2.53906250E-03, -2.04120994E+00
2.73437500E-03, -2.04211974E+00
2.92968750E-03, -2.00696254E+00
3.12500000E-03, -2.00041533E+00
3.32031250E-03, -1.98808157E+00
3.51562500E-03, -1.95323980E+00
3.71093750E-03, -1.95722890E+00
3.90625000E-03, -1.92380643E+00
4.10156250E-03, -1.90462267E+00
4.29687500E-03, -1.90148175E+00
4.49218750E-03, -1.85735655E+00
4.68750000E-03, -1.85783875E+00
4.88281250E-03, -1.83295798E+00
5.07812500E-03, -1.79875457E+00
5.27343750E-03, -1.80312061E+00
5.46875000E-03, -1.75683105E+00
5.66406250E-03, -1.74634731E+00
5.85937500E-03, -1.73346877E+00
6.05468750E-03, -1.68489742E+00
6.25000000E-03, -1.69050646E+00
6.44531250E-03, -1.65024734E+00
6.64062500E-03, -1.62340021E+00
6.83593750E-03, -1.62292790E+00
7.03125000E-03, -1.56648612E+00
7.22656250E-03, -1.56587756E+00
7.42187500E-03, -1.53834140E+00
7.61718750E-03, -1.49349380E+00
7.81250000E-03, -1.50141132E+00
8.00781250E-03, -1.44593620E+00
8.20312500E-03, -1.43061864E+00
8.39843750E-03, -1.41918564E+00
8.59375000E-03, -1.36013854E+00
8.78906250E-03, -1.36801803E+00
