Label:, CH1: Time
DateTime:, Sun Jan 12 00:01:02 2003
DataKind:, CH1, Time, Real
DataPoints:, 16384
DataCalc:
Frequency:, 0.000 , 500.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 0.000 , dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
0.00000000E+00, 6.20612354E-06
7.81250000E-04, 1.00572915E-05
1.56250000E-03, 9.17220768E-06
2.34375000E-03, -4.33980822E-05
3.12500000E-03, -3.15574507E-05
3.90625000E-03, -1.97457975E-05
4.68750000E-03, -5.90898817E-05
5.46875000E-03, -7.05854327E-05
6.25000000E-03, -7.21975521E-05
7.03125000E-03, -6.32545125E-05
7.81250000E-03, -7.09436790E-05
8.59375000E-03, -8.90826341E-05
9.37500000E-03, -8.27263575E-05
1.01562500E-02, -5.88080220E-05
1.09375000E-02, -3.77951874E-05
1.17187500E-02, -2.22219260E-05
1.25000000E-02, 1.03786613E-06
1.32812500E-02, -8.30029512E-06
1.40625000E-02, 3.26638065E-06
1.48437500E-02, 2.71557401E-05
1.56250000E-02, 2.68475414E-05
1.64062500E-02, 5.13585692E-05
1.71875000E-02, 4.85241944E-05
1.79687500E-02, 3.62383871E-05
1.87500000E-02, 3.37016718E-05
1.95312500E-02, 4.29766151E-05
2.03125000E-02, 7.17602743E-05
2.10937500E-02, 6.85439445E-05
2.18750000E-02, 6.12209333E-05
2.26562500E-02, 4.54738147E-05
2.34375000E-02, 3.94599847E-05
2.42187500E-02, 3.91359827E-05
2.50000000E-02, 1.18801427E-05
2.57812500E-02, -1.43694406E-05
2.65625000E-02, -6.00487219E-05
2.73437500E-02, -6.24695313E-05
2.81250000E-02, -7.91148996E-05
2.89062500E-02, -1.13043112E-04
2.96875000E-02, -7.93598811E-05
3.04687500E-02, -6.69897781E-05
3.12500000E-02, -6.83490143E-05
3.20312500E-02, -9.19775921E-05
3.28125000E-02, -8.76338308E-05
3.35937500E-02, -7.22897457E-05
3.43750000E-02, -8.36009058E-05
3.51562500E-02, -3.90227142E-05
3.59375000E-02, -2.95712816E-05
3.67187500E-02, -2.66947591E-05
3.75000000E-02, -7.88936268E-06
3.82812500E-02, -9.94665606E-06
3.90625000E-02, 3.79743105E-05
3.98437500E-02, 4.60691372E-05
4.06250000E-02, 2.74876475E-05
4.14062500E-02, 4.71992025E-05
4.21875000E-02, 5.46407537E-05
4.29687500E-02, 6.48982459E-05
4.37500000E-02, 9.18169098E-05
4.45312500E-02, 8.03582370E-05
4.53125000E-02, -2.61047035E-06
4.60937500E-02, -4.04082903E-06
4.68750000E-02, 6.12182994E-05
4.76562500E-02, 5.85551425E-05
4.84375000E-02, 4.53157627E-05
4.92187500E-02, 1.23305872E-05
5.00000000E-02, -4.97859617E-07
5.07812500E-02, -4.76786226E-06
5.15625000E-02, -3.43338761E-05
5.23437500E-02, -1.13085262E-05
5.31250000E-02, -2.36865289E-05
5.39062500E-02, -5.34184946E-05
5.46875000E-02, -6.19400598E-05
5.54687500E-02, -8.77233979E-05
5.62500000E-02, -9.50911926E-05
5.70312500E-02, -1.01186677E-04
5.78125000E-02, -8.83687680E-05
5.85937500E-02, -9.81889825E-05
5.93750000E-02, -1.13596288E-04
6.01562500E-02, -1.00309495E-04
6.09375000E-02, -1.33426380E-04
6.17187500E-02, -1.60086900E-04
6.25000000E-02, -1.44360863E-04
6.32812500E-02, -1.26993720E-04
6.40625000E-02, -1.14668401E-04
6.48437500E-02, -7.84668955E-05
6.56250000E-02, -5.59657456E-05
6.64062500E-02, -2.47164917E-05
