Label:, CH1: Power Spectrum
DateTime:, Sun Jan 12 00:32:20 2003
DataKind:, CH1, PowerSpec, Mag
DataPoints:, 6402
DataCalc:
Frequency:, 0.000 , 500.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 0.000 , dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:, rms
0.00000000E+00, 4.66165722E-05
7.81250000E-02, 3.72634590E-05
1.56250000E-01, 1.41971170E-05
2.34375000E-01, 1.28140413E-05
3.12500000E-01, 5.55677655E-06
3.90625000E-01, 9.72828873E-06
4.68750000E-01, 1.64687083E-05
5.46875000E-01, 1.37174942E-05
6.25000000E-01, 6.79755957E-06
7.03125000E-01, 3.26971666E-06
7.81250000E-01, 4.17321146E-06
8.59375000E-01, 2.63038447E-06
9.37500000E-01, 4.84904169E-06
1.01562500E+00, 8.48330604E-06
1.09375000E+00, 6.66217527E-06
1.17187500E+00, 7.78588925E-06
1.25000000E+00, 4.15181974E-06
1.32812500E+00, 1.88184990E-06
1.40625000E+00, 2.54778300E-06
1.48437500E+00, 5.67145045E-06
1.56250000E+00, 1.40330566E-06
1.64062500E+00, 6.60886553E-06
1.71875000E+00, 9.89410909E-06
1.79687500E+00, 5.90615994E-06
1.87500000E+00, 5.84214308E-06
1.95312500E+00, 4.44447956E-06
2.03125000E+00, 4.63571871E-06
2.10937500E+00, 3.05930252E-06
2.18750000E+00, 4.34820437E-06
2.26562500E+00, 4.94348374E-06
2.34375000E+00, 2.25497737E-06
2.42187500E+00, 3.95983223E-06
2.50000000E+00, 1.52374919E-06
2.57812500E+00, 2.95358056E-06
2.65625000E+00, 3.69143257E-06
2.73437500E+00, 2.85761744E-06
2.81250000E+00, 5.97315247E-06
2.89062500E+00, 2.04712096E-06
2.96875000E+00, 5.30493470E-06
3.04687500E+00, 6.35137606E-06
3.12500000E+00, 2.53988152E-06
3.20312500E+00, 1.91198631E-06
3.28125000E+00, 4.60515235E-06
3.35937500E+00, 6.78690462E-06
3.43750000E+00, 2.13562999E-06
3.51562500E+00, 6.90129936E-06
3.59375000E+00, 1.47632214E-07
3.67187500E+00, 8.81332514E-06
3.75000000E+00, 5.66841144E-06
3.82812500E+00, 4.02698389E-06
3.90625000E+00, 5.54452365E-06
3.98437500E+00, 6.71277543E-06
4.06250000E+00, 4.34941283E-06
4.14062500E+00, 7.32494506E-06
4.21875000E+00, 7.53349680E-06
4.29687500E+00, 7.18962353E-06
4.37500000E+00, 7.54224697E-06
4.45312500E+00, 5.64688242E-06
4.53125000E+00, 7.72270649E-06
4.60937500E+00, 9.78778147E-06
4.68750000E+00, 6.02711475E-06
4.76562500E+00, 1.03052169E-05
4.84375000E+00, 1.05172744E-05
4.92187500E+00, 9.57056079E-06
5.00000000E+00, 1.35138499E-05
5.07812500E+00, 7.63092824E-06
5.15625000E+00, 1.32587829E-05
5.23437500E+00, 1.53311949E-05
5.31250000E+00, 1.44343611E-05
5.39062500E+00, 1.46677963E-05
5.46875000E+00, 2.01320327E-05
5.54687500E+00, 1.88900101E-05
5.62500000E+00, 2.03223282E-05
5.70312500E+00, 2.75953151E-05
5.78125000E+00, 3.07628202E-05
5.85937500E+00, 3.72641338E-05
5.93750000E+00, 4.92651184E-05
6.01562500E+00, 9.29348666E-05
6.09375000E+00, 1.66726945E-04
6.17187500E+00, 3.74941207E-04
6.25000000E+00, 2.64354211E-03
6.32812500E+00, 4.47575034E-03
6.40625000E+00, 1.93805675E-03
6.48437500E+00, 9.93142931E-05
6.56250000E+00, 8.17206906E-05
6.64062500E+00, 7.84413204E-05
6.71875000E+00, 5.59232301E-05
6.79687500E+00, 3.73574399E-05
6.87500000E+00, 2.75182350E-05
6.95312500E+00, 2.79706585E-05
7.03125000E+00, 2.22523087E-05
7.10937500E+00, 2.22045065E-05
7.18750000E+00, 1.91066344E-05
