Label:, CH1: Time
DateTime:, Sun Jan 12 00:32:20 2003
DataKind:, CH1, Time, Real
DataPoints:, 16384
DataCalc:
Frequency:, 0.000 , 500.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 0.000 , dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
0.00000000E+00, 5.11351915E-04
7.81250000E-04, 7.06541876E-04
1.56250000E-03, 8.01345916E-04
2.34375000E-03, 7.56348891E-04
3.12500000E-03, 7.40535907E-04
3.90625000E-03, 6.47578388E-04
4.68750000E-03, 6.79085788E-04
5.46875000E-03, 7.37691007E-04
6.25000000E-03, 8.59584950E-04
7.03125000E-03, 8.74478603E-04
7.81250000E-03, 7.60795374E-04
8.59375000E-03, 7.73107517E-04
9.37500000E-03, 7.85625132E-04
1.01562500E-02, 8.65187845E-04
1.09375000E-02, 9.21240542E-04
1.17187500E-02, 9.08509537E-04
1.25000000E-02, 8.73575103E-04
1.32812500E-02, 8.23673210E-04
1.40625000E-02, 8.47030489E-04
1.48437500E-02, 9.45092994E-04
1.56250000E-02, 9.98748583E-04
1.64062500E-02, 9.52010392E-04
1.71875000E-02, 9.56275093E-04
1.79687500E-02, 9.54183575E-04
1.87500000E-02, 9.73605376E-04
1.95312500E-02, 1.05753029E-03
2.03125000E-02, 1.09819148E-03
2.10937500E-02, 1.07372785E-03
2.18750000E-02, 1.00893236E-03
2.26562500E-02, 1.00276573E-03
2.34375000E-02, 1.02795637E-03
2.42187500E-02, 1.07969425E-03
2.50000000E-02, 1.11704692E-03
2.57812500E-02, 1.08256808E-03
2.65625000E-02, 1.03496586E-03
2.73437500E-02, 1.02371001E-03
2.81250000E-02, 1.05928467E-03
2.89062500E-02, 1.07787398E-03
2.96875000E-02, 1.08201755E-03
3.04687500E-02, 1.03637518E-03
3.12500000E-02, 9.67883912E-04
3.20312500E-02, 9.68489796E-04
3.28125000E-02, 9.72817710E-04
3.35937500E-02, 9.92363319E-04
3.43750000E-02, 9.58124292E-04
3.51562500E-02, 9.12985008E-04
3.59375000E-02, 8.87944538E-04
3.67187500E-02, 8.57393316E-04
3.75000000E-02, 9.25523695E-04
3.82812500E-02, 9.40190803E-04
3.90625000E-02, 9.30662965E-04
3.98437500E-02, 8.93513148E-04
4.06250000E-02, 8.28686054E-04
4.14062500E-02, 8.55472987E-04
4.21875000E-02, 8.90960626E-04
4.29687500E-02, 9.54979099E-04
4.37500000E-02, 9.62428516E-04
4.45312500E-02, 9.00509534E-04
4.53125000E-02, 8.06324533E-04
4.60937500E-02, 7.05917540E-04
4.68750000E-02, 7.14360096E-04
4.76562500E-02, 6.74233655E-04
4.84375000E-02, 5.34321938E-04
4.92187500E-02, 3.68126377E-04
5.00000000E-02, 2.17991401E-04
5.07812500E-02, 7.80770351E-05
5.15625000E-02, -9.36661017E-05
5.23437500E-02, -2.29710859E-04
5.31250000E-02, -3.65368382E-04
5.39062500E-02, -6.11361116E-04
5.46875000E-02, -9.10614268E-04
5.54687500E-02, -1.06899417E-03
5.62500000E-02, -1.19335379E-03
5.70312500E-02, -1.35836657E-03
5.78125000E-02, -1.47725490E-03
5.85937500E-02, -1.63467601E-03
5.93750000E-02, -1.77187193E-03
6.01562500E-02, -1.83757627E-03
6.09375000E-02, -1.81752490E-03
6.17187500E-02, -1.76359795E-03
6.25000000E-02, -1.76506524E-03
6.32812500E-02, -1.78382848E-03
6.40625000E-02, -1.76562625E-03
6.48437500E-02, -1.67729438E-03
6.56250000E-02, -1.57446135E-03
6.64062500E-02, -1.46753481E-03
6.71875000E-02, -1.38795364E-03
6.79687500E-02, -1.33761449E-03
6.87500000E-02, -1.29769614E-03
6.95312500E-02, -1.24699879E-03
7.03125000E-02, -1.11502118E-03
7.10937500E-02, -9.99704818E-04
7.18750000E-02, -1.01108185E-03
7.26562500E-02, -1.04391680E-03
7.34375000E-02, -1.05502782E-03
7.42187500E-02, -1.07536360E-03
7.50000000E-02, -1.05966395E-03
7.57812500E-02, -1.09017035E-03
7.65625000E-02, -1.15137547E-03
7.73437500E-02, -1.23450486E-03
7.81250000E-02, -1.34545914E-03
7.89062500E-02, -1.38348085E-03
7.96875000E-02, -1.41861814E-03
8.04687500E-02, -1.46754528E-03
8.12500000E-02, -1.55126746E-03
8.20312500E-02, -1.64170924E-03
8.28125000E-02, -1.66089134E-03
8.35937500E-02, -1.69122918E-03
8.43750000E-02, -1.69785938E-03
8.51562500E-02, -1.69648440E-03
8.59375000E-02, -1.69841782E-03
8.67187500E-02, -1.67636981E-03
8.75000000E-02, -1.60944322E-03
8.82812500E-02, -1.46926544E-03
8.90625000E-02, -1.36735174E-03
8.98437500E-02, -1.20919046E-03
9.06250000E-02, -1.07953360E-03
9.14062500E-02, -1.00086385E-03
9.21875000E-02, -8.38224427E-04
9.29687500E-02, -7.17107556E-04
9.37500000E-02, -5.54015045E-04
9.45312500E-02, -4.15873481E-04
9.53125000E-02, -3.24222521E-04
9.60937500E-02, -1.93382904E-04
9.68750000E-02, -1.05087900E-04
9.76562500E-02, -2.10523503E-05
9.84375000E-02, 9.21751562E-05
9.92187500E-02, 1.79100389E-04
1.00000000E-01, 1.92210704E-04
1.00781250E-01, 1.88217280E-04
1.01562500E-01, 2.07328252E-04
1.02343750E-01, 2.31978891E-04
1.03125000E-01, 2.49232748E-04
1.03906250E-01, 2.37392116E-04
1.04687500E-01, 2.00479379E-04
1.05468750E-01, 1.38484000E-04
1.06250000E-01, 8.41567162E-05
1.07031250E-01, 9.43035702E-05
1.07812500E-01, 7.30299507E-05
1.08593750E-01, 5.23595554E-05
1.09375000E-01, 7.57615926E-05
1.10156250E-01, 6.22298176E-05
1.10937500E-01, 7.12545152E-05
1.11718750E-01, 9.41323524E-05
1.12500000E-01, 1.29733264E-04
1.13281250E-01, 1.82206088E-04
1.14062500E-01, 2.55841907E-04
1.14843750E-01, 3.51209688E-04
1.15625000E-01, 4.13597561E-04
1.16406250E-01, 5.09270874E-04
1.17187500E-01, 6.40566228E-04
1.17968750E-01, 7.36713700E-04
1.18750000E-01, 8.25208961E-04
1.19531250E-01, 9.52126284E-04
1.20312500E-01, 1.07498956E-03
1.21093750E-01, 1.19263725E-03
1.21875000E-01, 1.34497182E-03
1.22656250E-01, 1.33625790E-03
1.23437500E-01, 1.34638895E-03
1.24218750E-01, 1.49602874E-03
1.25000000E-01, 1.47874327E-03
1.25781250E-01, 1.50350190E-03
1.26562500E-01, 1.59122795E-03
1.27343750E-01, 1.58337015E-03
1.28125000E-01, 1.52840535E-03
1.28906250E-01, 1.51262397E-03
1.29687500E-01, 1.53955852E-03
1.30468750E-01, 1.40719896E-03
1.31250000E-01, 1.33892102E-03
1.32031250E-01, 1.34403666E-03
1.32812500E-01, 1.24727807E-03
1.33593750E-01, 1.16414600E-03
1.34375000E-01, 1.15210516E-03
1.35156250E-01, 1.19436265E-03
1.35937500E-01, 1.12480985E-03
1.36718750E-01, 1.08587404E-03
1.37500000E-01, 1.15338806E-03
1.38281250E-01, 1.11653318E-03
1.39062500E-01, 1.05681375E-03
1.39843750E-01, 1.11517136E-03
1.40625000E-01, 1.19141233E-03
1.41406250E-01, 1.16170943E-03
1.42187500E-01, 1.18791685E-03
1.42968750E-01, 1.26770081E-03
1.43750000E-01, 1.24905608E-03
1.44531250E-01, 1.28988060E-03
1.45312500E-01, 1.38447387E-03
1.46093750E-01, 1.43511069E-03
1.46875000E-01, 1.40371919E-03
1.47656250E-01, 1.39152561E-03
1.48437500E-01, 1.49052590E-03
1.49218750E-01, 1.47918577E-03
1.50000000E-01, 1.45209057E-03
1.50781250E-01, 1.46711338E-03
1.51562500E-01, 1.43079332E-03
1.52343750E-01, 1.39789504E-03
1.53125000E-01, 1.35545840E-03
