Label:, CH1: Time
DateTime:, Sun Jan 12 00:56:24 2003
DataKind:, CH1, Time, Real
DataPoints:, 16384
DataCalc:
Frequency:, 0.000 , 500.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 0.000 , dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
0.00000000E+00, -5.62001878E-05
7.81250000E-04, -4.39670657E-05
1.56250000E-03, -3.86038773E-05
2.34375000E-03, -4.32084198E-05
3.12500000E-03, -6.12130316E-05
3.90625000E-03, -8.80816442E-05
4.68750000E-03, -1.20953548E-04
5.46875000E-03, -9.47882581E-05
6.25000000E-03, -1.03096456E-04
7.03125000E-03, -1.05330240E-04
7.81250000E-03, -8.30846111E-05
8.59375000E-03, -1.18669719E-04
9.37500000E-03, -1.26872546E-04
1.01562500E-02, -1.42809324E-04
1.09375000E-02, -1.74440531E-04
1.17187500E-02, -2.01554125E-04
1.25000000E-02, -2.00829731E-04
1.32812500E-02, -1.86386533E-04
1.40625000E-02, -1.62815908E-04
1.48437500E-02, -1.58680254E-04
1.56250000E-02, -1.82153410E-04
1.64062500E-02, -1.21944002E-04
1.71875000E-02, -1.21896584E-04
1.79687500E-02, -1.53116867E-04
1.87500000E-02, -1.17444826E-04
1.95312500E-02, -1.03665443E-04
2.03125000E-02, -7.64965298E-05
2.10937500E-02, -7.53401255E-05
2.18750000E-02, -1.11515292E-04
2.26562500E-02, -1.17210380E-04
2.34375000E-02, -1.01584439E-04
2.42187500E-02, -7.45999205E-05
2.50000000E-02, -4.55001573E-05
2.57812500E-02, -6.38261336E-05
2.65625000E-02, -6.99426964E-05
2.73437500E-02, -6.20665014E-05
2.81250000E-02, -7.85669909E-05
2.89062500E-02, -8.14803934E-05
2.96875000E-02, -1.07063534E-04
3.04687500E-02, -1.10316738E-04
3.12500000E-02, -8.56292245E-05
3.20312500E-02, -8.89324801E-05
3.28125000E-02, -1.00833699E-04
3.35937500E-02, -1.00309495E-04
3.43750000E-02, -8.44596507E-05
3.51562500E-02, -8.92090684E-05
3.59375000E-02, -1.09579167E-04
3.67187500E-02, -1.15477094E-04
3.75000000E-02, -1.21440877E-04
3.82812500E-02, -1.34793518E-04
3.90625000E-02, -1.40775737E-04
3.98437500E-02, -1.41750381E-04
4.06250000E-02, -1.44310805E-04
4.14062500E-02, -1.15996030E-04
4.21875000E-02, -8.97569771E-05
4.29687500E-02, -8.62377201E-05
4.37500000E-02, -8.45571121E-05
4.45312500E-02, -1.10282497E-04
4.53125000E-02, -9.90319240E-05
4.60937500E-02, -9.24016931E-05
4.68750000E-02, -1.13090529E-04
4.76562500E-02, -1.11873538E-04
4.84375000E-02, -1.25176142E-04
4.92187500E-02, -7.52742708E-05
5.00000000E-02, -3.51478375E-05
5.07812500E-02, -6.82199388E-05
5.15625000E-02, -7.43865530E-05
5.23437500E-02, -5.36608386E-05
5.31250000E-02, -5.10951504E-05
5.39062500E-02, -9.23779880E-05
5.46875000E-02, -1.24554470E-04
5.54687500E-02, -1.21933466E-04
5.62500000E-02, -9.45274805E-05
